P,K,C,val_acc,delta_sota
4,6000,0.02,0.7546,-0.01319999999999999
4,6000,0.03,0.7516,-0.016199999999999992
4,8000,0.003,0.7686,0.0007999999999999119
4,8000,0.005,0.7656,-0.0022000000000000908
4,8000,0.01,0.7612,-0.00660000000000005
4,8000,0.02,0.7534,-0.01440000000000008
4,8000,0.03,0.7464,-0.021400000000000086
5,400,0.003,0.7096,-0.05820000000000003
5,400,0.005,0.7156,-0.052200000000000024
5,400,0.01,0.721,-0.046800000000000064
5,400,0.02,0.727,-0.04080000000000006
5,400,0.03,0.7282,-0.03960000000000008
5,800,0.003,0.7296,-0.03820000000000001
5,800,0.005,0.7378,-0.030000000000000027
5,800,0.01,0.7406,-0.027200000000000002
5,800,0.02,0.7478,-0.020000000000000018
5,800,0.03,0.7446,-0.0232
5,1200,0.003,0.7428,-0.025000000000000022
5,1200,0.005,0.7484,-0.019400000000000084
5,1200,0.01,0.752,-0.015800000000000036
5,1200,0.02,0.752,-0.015800000000000036
5,1200,0.03,0.753,-0.014800000000000035
5,1600,0.003,0.757,-0.010800000000000032
5,1600,0.005,0.761,-0.006800000000000028
5,1600,0.01,0.7604,-0.007400000000000073
5,1600,0.02,0.7626,-0.0052000000000000934
5,1600,0.03,0.7588,-0.009000000000000008
5,2000,0.003,0.7562,-0.011600000000000055
5,2000,0.005,0.7594,-0.008400000000000074
5,2000,0.01,0.76,-0.007800000000000029
5,2000,0.02,0.7598,-0.008000000000000007
5,2000,0.03,0.7576,-0.010199999999999987
5,2400,0.003,0.7662,-0.0016000000000000458
5,2400,0.005,0.7664,-0.0014000000000000679
5,2400,0.01,0.7658,-0.0020000000000000018
5,2400,0.02,0.7624,-0.005400000000000071
5,2400,0.03,0.7602,-0.007600000000000051
5,3200,0.003,0.7698,0.0020000000000000018
5,3200,0.005,0.7712,0.0033999999999999586
5,3200,0.01,0.7696,0.0017999999999999128
5,3200,0.02,0.7674,-0.00040000000000006697
5,3200,0.03,0.7628,-0.0050000000000000044
5,4000,0.003,0.7728,0.0050000000000000044
5,4000,0.005,0.7708,0.0030000000000000027
5,4000,0.01,0.767,-0.0008000000000000229
5,4000,0.02,0.7628,-0.0050000000000000044
5,4000,0.03,0.7584,-0.009400000000000075
5,6000,0.003,0.776,0.008199999999999985
5,6000,0.005,0.7788,0.01100000000000001
5,6000,0.01,0.7704,0.0025999999999999357
5,6000,0.02,0.763,-0.0048000000000000265
5,6000,0.03,0.7582,-0.009600000000000053
5,8000,0.003,0.7794,0.011599999999999944
5,8000,0.005,0.7768,0.009000000000000008
5,8000,0.01,0.7714,0.0035999999999999366
5,8000,0.02,0.7626,-0.0052000000000000934
5,8000,0.03,0.7574,-0.010400000000000076
6,400,0.003,0.7136,-0.054200000000000026
6,400,0.005,0.719,-0.048800000000000066
6,400,0.01,0.7232,-0.044600000000000084
6,400,0.02,0.7262,-0.04160000000000008
6,400,0.03,0.7284,-0.03939999999999999
6,800,0.003,0.7324,-0.03539999999999999
6,800,0.005,0.7402,-0.02760000000000007
6,800,0.01,0.742,-0.025800000000000045
6,800,0.02,0.7422,-0.025600000000000067
6,800,0.03,0.7414,-0.02640000000000009
6,1200,0.003,0.7582,-0.009600000000000053
6,1200,0.005,0.7612,-0.00660000000000005
6,1200,0.01,0.7604,-0.007400000000000073
6,1200,0.02,0.762,-0.005800000000000027
6,1200,0.03,0.7588,-0.009000000000000008
6,1600,0.003,0.7592,-0.008600000000000052
6,1600,0.005,0.762,-0.005800000000000027
6,1600,0.01,0.7646,-0.0032000000000000917
6,1600,0.02,0.7608,-0.007000000000000006
6,1600,0.03,0.7582,-0.009600000000000053
6,2000,0.003,0.7654,-0.0024000000000000687
6,2000,0.005,0.766,-0.0018000000000000238
6,2000,0.01,0.7668,-0.0010000000000000009
6,2000,0.02,0.7614,-0.006400000000000072
6,2000,0.03,0.7578,-0.010000000000000009
6,2400,0.003,0.7752,0.007399999999999962
6,2400,0.005,0.7752,0.007399999999999962
6,2400,0.01,0.77,0.0021999999999999797
6,2400,0.02,0.7658,-0.0020000000000000018
